gender_gt,income_gt,education_gt,gender_pred,income_pred,education_pred,MSE_Loss
0,1,1,0,1,1,0.029671095
1,1,1,1,1,1,0.049541008
1,0,0,1,1,1,0.0006409176
1,1,1,1,1,1,0.04901491
0,1,1,0,1,1,0.0039920267
1,0,1,1,0,1,0.052489415
1,0,1,1,1,1,0.5441355
0,1,0,0,1,0,0.054294027
0,0,1,0,0,1,0.10865603
0,1,1,0,1,1,0.04631993
1,0,1,1,0,1,0.04037495
0,1,1,0,1,1,0.017001454
1,0,1,1,0,1,0.023805369
0,1,1,0,1,1,0.019092077
1,0,1,1,0,1,0.019477151
1,1,0,1,1,0,0.016764354
1,1,1,1,1,1,0.049847744
1,0,1,1,0,1,0.06501826
0,1,0,1,1,1,0.09171015
0,1,1,0,1,1,0.015502492
1,1,1,0,1,1,0.29321238
1,1,0,0,1,0,0.034495637
0,1,1,1,1,1,0.0007285885
1,1,1,1,1,1,0.035923272
0,0,0,0,0,0,0.035921667
1,1,1,1,1,1,0.0127466265
1,1,1,1,1,1,0.09873253
1,1,1,1,1,1,0.0808924
1,1,1,1,1,1,0.027957343
1,1,0,1,1,0,0.029282952
1,0,1,1,1,1,0.022273982
0,0,1,1,1,1,0.0008779402
0,1,0,0,1,0,0.010978244
1,1,1,1,1,1,0.005593879
1,1,1,0,1,1,0.03847413
1,1,1,1,1,1,0.009965103
1,1,1,0,1,1,0.04723501
1,1,0,0,1,0,0.01965893
0,1,1,0,1,1,0.02009084
1,0,1,1,0,1,0.09156393
1,1,1,1,1,1,0.017201934
1,1,1,1,1,1,0.042030647
0,1,0,0,1,0,0.024201574
0,1,1,1,1,0,0.13591911
1,1,1,0,1,1,0.097129814
1,0,1,1,1,1,0.0007835131
1,1,1,1,1,1,0.01221495
1,1,1,1,1,1,0.054137897
1,0,1,1,0,1,0.011861609
1,0,1,1,0,1,0.04648413
0,1,1,1,1,1,0.0011636893
0,0,0,0,0,0,0.045254447
1,1,1,1,1,1,0.15484852
1,1,1,1,1,1,0.03725429
0,1,1,1,1,1,0.07678885
1,1,1,1,1,1,0.13612537
0,1,1,0,1,1,0.04108843
1,1,1,1,1,1,0.069191605
1,0,1,1,0,1,0.043955717
0,1,1,0,1,1,0.024588482
1,1,0,1,1,0,0.013048891
1,0,1,1,0,1,0.043065406
0,0,1,0,0,1,0.04139284
1,1,1,1,1,1,0.004227199
1,1,1,1,0,1,0.25759298
0,1,1,0,1,1,0.014941928
0,0,1,0,0,1,0.055357963
1,0,1,1,0,1,0.032573435
1,1,0,1,1,0,0.028820083
1,1,1,1,1,1,0.0147287585
1,1,1,1,1,1,0.06508554
1,0,0,1,0,0,0.2730196
0,1,1,0,1,1,0.013887048
1,1,1,1,1,1,0.054246206
0,1,1,0,1,1,0.06599679
1,0,1,1,1,0,0.0026702073
0,1,0,1,1,1,0.00071811804
1,0,0,1,0,0,0.06947174
1,1,1,1,1,1,0.0007840585
1,1,0,0,1,0,0.073541425
1,0,1,1,1,1,0.0005637524
1,1,1,0,1,1,0.11882301
1,1,1,1,1,1,0.080138534
0,0,0,0,0,0,0.12261585
1,0,1,1,0,1,0.09473302
0,1,0,0,1,0,0.039068013
0,1,0,0,1,0,0.13669324
0,1,0,0,1,0,0.08164838
0,1,1,0,1,1,0.028769894
0,1,1,0,0,1,0.071383305
1,1,1,1,1,1,0.027778907
0,0,1,0,0,1,0.036757957
0,0,1,0,0,1,0.06558404
0,1,1,1,1,1,0.09245092
0,0,1,0,0,1,0.12712687
1,1,1,0,1,1,0.0977303
1,0,1,1,0,1,0.020385152
1,1,1,1,1,1,0.09273852
1,1,1,1,1,1,0.010761758
1,0,1,1,0,1,0.055979148
1,0,1,1,0,1,0.016276546
1,1,1,1,1,1,0.052541357
0,1,1,0,1,1,0.031884853
1,1,0,1,1,0,0.034743182
1,1,1,1,1,1,0.028493816
0,0,1,0,0,1,0.069134586
1,0,1,1,0,1,0.012816442
1,0,1,1,0,1,0.026077686
0,1,1,1,1,1,0.0006862831
1,1,0,1,1,0,0.0027831015
1,1,0,1,1,0,0.006637466
1,0,1,1,1,1,0.0008115
1,1,1,0,1,1,0.10495369
1,1,0,1,1,1,0.09326097
1,1,1,1,1,1,0.13928959
1,1,1,1,1,1,0.0006169499
0,1,1,0,1,1,0.01562474
0,1,1,1,1,1,0.02575119
1,1,1,1,1,1,0.025565129
1,0,0,1,0,0,0.033920746
1,1,1,1,1,1,0.047014643
1,0,1,1,1,1,0.09211023
0,1,1,0,1,1,0.040100943
1,1,1,0,1,1,0.061458778
0,1,1,0,1,1,0.021349251
0,1,1,0,1,1,0.084395096
1,1,1,1,1,1,0.09764924
1,1,1,1,1,1,0.04990206
1,1,1,1,1,1,0.047057614
0,1,1,0,1,1,0.067299485
0,1,1,0,1,1,0.089573584
1,0,1,1,0,1,0.012142081
0,1,0,0,1,0,0.05832226
1,1,1,1,1,0,0.078938305
1,1,1,1,1,1,0.119164445
0,1,1,0,1,1,0.044962503
0,1,1,0,1,1,0.02351089
1,1,1,0,1,1,0.11422784
1,1,1,1,1,1,0.061610736
1,1,1,1,1,1,0.06803821
1,1,1,1,1,1,0.02676557
0,1,0,0,1,0,0.104456455
1,1,0,1,1,0,0.0035682218
1,1,0,1,1,0,0.0046717166
1,1,1,1,1,1,0.022354553
1,1,1,1,1,1,0.09406437
