gender_gt,income_gt,education_gt,gender_pred,income_pred,education_pred,MSE_Loss,,,,,,,,
1,0,0,0,0,1,0.0046623,,,,,MSE,Gender,Income,Education
0,0,0,0,0,0,0.055058695,,Properties,Gender,Male,0.05177578,0.913095238,0.800445931,0.781642052
1,0,0,1,0,0,0.028344104,,,,Female,0.052343555,0.589537028,0.800697485,0.814551647
0,0,1,0,0,1,0.019231709,,,Income,<median,0.051566433,0.895548654,0.942400595,0.897967286
0,1,0,0,1,0,0.077686645,,,,>median,0.052460644,0.881199651,0.828448468,0.885078396
0,0,1,0,0,1,0.036701504,,,Education,Degree Holder,0.050913013,0.912060041,0.874767744,0.782753692
1,1,1,0,1,1,0.011911123,,,,Non-Degree Holder,0.052757369,0.854799573,0.912962826,0.97304598
1,1,1,1,1,1,0.106227465,,,,,,,,
0,1,1,0,1,1,0.040747717,,,,,,,,
0,1,1,0,1,1,0.05754772,,,,,,,,
1,0,1,0,0,1,0.00256409,,,,,,,,
0,0,1,0,0,1,0.20119041,,,,,,,,
1,0,0,0,0,1,0.004514037,,,,,,,,
1,1,1,1,1,1,0.009075394,,,,,,,,
0,0,1,0,0,1,0.00444873,,,,,,,,
1,1,0,1,1,0,0.08455181,,,,,,,,
1,1,1,1,1,1,0.038790792,,,,,,,,
0,0,1,0,0,1,0.035190806,,,,,,,,
1,0,0,1,0,0,0.03112799,,,,,,,,
0,0,0,0,0,0,0.13860829,,,,,,,,
0,1,0,0,1,0,0.025542121,,,,,,,,
0,0,1,0,0,1,0.06360645,,,,,,,,
1,1,0,1,1,0,0.006260461,,,,,,,,
1,1,1,0,1,1,0.13692139,,,,,,,,
0,0,0,0,0,0,0.09924057,,,,,,,,
0,0,1,0,0,1,0.055914707,,,,,,,,
0,1,1,0,1,1,0.047470212,,,,,,,,
0,0,1,0,0,1,0.09435756,,,,,,,,
0,0,1,0,0,1,0.02359174,,,,,,,,
0,1,1,1,1,1,0.015169981,,,,,,,,
1,1,0,1,1,0,0.002377506,,,,,,,,
0,1,1,0,1,1,0.07999201,,,,,,,,
0,0,1,0,0,1,0.026851857,,,,,,,,
0,0,0,0,0,1,0.004596371,,,,,,,,
0,1,1,1,0,1,0.015498829,,,,,,,,
0,0,1,0,0,1,0.099800386,,,,,,,,
0,0,0,0,0,0,0.043981437,,,,,,,,
1,0,0,1,0,0,0.005768173,,,,,,,,
0,0,0,0,0,1,0.24811463,,,,,,,,
0,0,1,0,0,1,0.043261476,,,,,,,,
0,1,0,0,1,0,0.09166921,,,,,,,,
0,0,0,0,0,1,0.004601539,,,,,,,,
0,1,1,0,1,1,0.065334804,,,,,,,,
1,0,1,0,0,1,0.005668268,,,,,,,,
0,1,1,0,1,1,0.007927005,,,,,,,,
1,1,0,1,1,0,0.14452168,,,,,,,,
1,0,1,1,0,1,0.008581009,,,,,,,,
0,1,1,1,1,1,0.032226175,,,,,,,,
1,0,1,1,0,1,0.03900593,,,,,,,,
0,1,0,0,1,0,0.07371646,,,,,,,,
0,0,1,0,0,1,0.004489415,,,,,,,,
0,1,0,0,1,0,0.19341597,,,,,,,,
0,0,1,1,0,1,0.0395885,,,,,,,,
0,0,0,0,0,0,0.16973257,,,,,,,,
0,1,1,0,0,1,0.030655973,,,,,,,,
0,0,0,0,0,1,0.004576905,,,,,,,,
0,0,0,0,0,0,0.056358833,,,,,,,,
0,1,1,0,1,1,0.029606402,,,,,,,,
1,0,0,1,0,0,0.055729717,,,,,,,,
0,0,1,0,0,1,0.056936163,,,,,,,,
0,0,0,0,0,0,0.004862261,,,,,,,,
0,0,0,1,0,0,0.024194203,,,,,,,,
1,1,0,0,1,0,0.045477368,,,,,,,,
0,0,1,0,0,1,0.030318258,,,,,,,,
0,1,0,0,0,1,0.004498247,,,,,,,,
1,1,1,0,1,1,4.55E-05,,,,,,,,
0,1,1,0,1,1,0.05143044,,,,,,,,
0,0,0,0,0,0,0.028652677,,,,,,,,
0,0,1,1,0,1,0.24020313,,,,,,,,
0,1,1,0,0,1,0.06315216,,,,,,,,
0,0,0,0,1,0,0.4356316,,,,,,,,
0,1,1,0,1,1,0.005948864,,,,,,,,
0,1,0,0,1,1,0.098992966,,,,,,,,
0,1,1,1,1,1,0.08279568,,,,,,,,
0,0,1,0,0,1,0.02988903,,,,,,,,
0,0,1,0,0,1,0.049902808,,,,,,,,
0,0,0,0,0,1,0.004576451,,,,,,,,
0,1,1,0,1,1,0.0425501,,,,,,,,
0,0,1,0,0,1,0.11048331,,,,,,,,
0,0,0,0,0,0,0.01734097,,,,,,,,
0,0,1,0,0,1,0.004527714,,,,,,,,
0,1,0,0,1,0,0.090991765,,,,,,,,
1,1,1,0,1,1,0.015872484,,,,,,,,
0,1,0,0,1,0,0.08102562,,,,,,,,
0,1,0,0,1,0,0.019735996,,,,,,,,
0,1,0,0,1,0,0.018265791,,,,,,,,
1,1,0,1,1,0,0.014196221,,,,,,,,
0,0,1,0,0,1,0.07066799,,,,,,,,
0,0,1,0,0,1,0.004628635,,,,,,,,
1,1,1,1,1,1,0.07681936,,,,,,,,
0,1,1,0,1,1,0.004574845,,,,,,,,
0,0,1,0,0,1,0.004660625,,,,,,,,
1,0,0,0,0,1,0.004601598,,,,,,,,
1,1,0,1,0,0,0.040685672,,,,,,,,
1,0,0,0,0,0,0.25265288,,,,,,,,
0,1,0,0,1,0,0.05394804,,,,,,,,
0,1,0,0,1,0,0.012515891,,,,,,,,
0,1,0,0,0,1,0.004520305,,,,,,,,
0,0,1,0,0,1,0.06329358,,,,,,,,
0,1,1,1,1,1,0.01573386,,,,,,,,
0,0,0,0,0,1,0.03474365,,,,,,,,
1,0,0,1,0,0,0.0715724,,,,,,,,
0,1,1,0,1,1,0.032037154,,,,,,,,
0,1,1,0,0,1,0.080600016,,,,,,,,
0,1,1,0,1,1,0.008320837,,,,,,,,
0,0,1,0,0,1,0.10857253,,,,,,,,
0,0,0,0,0,0,0.047486242,,,,,,,,
0,0,1,0,0,1,0.01163738,,,,,,,,
0,0,0,0,0,0,0.037454657,,,,,,,,
0,1,0,0,1,0,0.037172064,,,,,,,,
0,0,1,0,0,1,0.3536998,,,,,,,,
1,0,1,1,0,1,0.07681645,,,,,,,,
0,1,1,0,0,1,0.003976258,,,,,,,,
0,1,1,0,1,1,0.13965091,,,,,,,,
0,0,1,0,0,1,0.044639044,,,,,,,,
0,0,0,1,0,0,0.32523552,,,,,,,,
0,0,0,0,0,0,0.071176484,,,,,,,,
0,0,0,1,0,0,0.06703534,,,,,,,,
0,1,1,0,1,1,0.005978148,,,,,,,,
0,0,0,0,0,0,0.03573688,,,,,,,,
0,1,0,0,1,0,0.042820465,,,,,,,,
1,1,1,0,0,1,0.063320845,,,,,,,,
0,1,1,0,0,1,0.004000207,,,,,,,,
1,0,0,1,0,0,0.15273394,,,,,,,,
0,0,1,0,0,1,0.000365455,,,,,,,,
0,0,1,1,0,1,0.2372444,,,,,,,,
0,1,0,0,1,0,0.022936564,,,,,,,,
0,0,1,0,0,1,0.004587164,,,,,,,,
0,1,1,0,1,1,0.08746897,,,,,,,,
1,1,1,0,1,1,9.76E-05,,,,,,,,
1,0,0,0,0,1,0.004628118,,,,,,,,
1,0,0,1,0,0,0.000497827,,,,,,,,
0,0,1,0,0,1,0.004592484,,,,,,,,
0,1,0,0,1,0,0.16310476,,,,,,,,
1,0,1,1,0,1,0.0958081,,,,,,,,
0,0,1,0,0,1,0.003365074,,,,,,,,
1,0,0,0,0,1,0.004622467,,,,,,,,
0,0,0,1,0,0,0.022889275,,,,,,,,
0,1,1,0,0,1,0.034806233,,,,,,,,
1,1,0,1,1,0,0.11890474,,,,,,,,
1,1,0,0,1,0,0.052415,,,,,,,,
0,0,1,0,0,1,0.05809839,,,,,,,,
0,0,0,0,0,0,0.1580394,,,,,,,,
0,0,1,0,0,1,0.046491284,,,,,,,,
0,0,1,0,0,1,0.004589127,,,,,,,,
0,0,1,0,0,1,0.0537501,,,,,,,,
1,0,1,0,0,1,0.07395199,,,,,,,,
0,0,1,0,0,1,0.0842737,,,,,,,,
0,1,1,0,1,1,0.09900058,,,,,,,,
1,1,0,1,1,0,0.032819647,,,,,,,,
0,0,1,0,0,1,0.13901235,,,,,,,,
1,1,1,1,1,1,0.025031865,,,,,,,,
0,0,1,0,0,1,0.08655715,,,,,,,,
1,1,1,1,1,1,0.22413647,,,,,,,,
0,0,1,0,0,1,0.107737534,,,,,,,,
0,0,1,0,0,1,0.014592687,,,,,,,,
0,0,1,0,0,1,0.03435297,,,,,,,,
0,0,0,0,0,0,0.011505915,,,,,,,,
0,1,0,0,1,0,0.020262826,,,,,,,,
0,1,1,0,0,1,6.97E-05,,,,,,,,
0,1,0,0,1,0,0.097962655,,,,,,,,
0,0,1,0,0,1,0.004588595,,,,,,,,
0,0,1,0,0,1,0.06554912,,,,,,,,
0,0,0,0,0,1,0.18435858,,,,,,,,
1,0,0,1,0,0,0.10676575,,,,,,,,
0,1,0,0,1,0,0.054344263,,,,,,,,
0,0,1,0,0,1,0.006003513,,,,,,,,
0,0,0,0,0,0,0.000504349,,,,,,,,
0,0,1,0,0,1,0.013212816,,,,,,,,
0,0,0,0,0,0,0.015473647,,,,,,,,
0,0,1,0,0,1,0.106410466,,,,,,,,
0,0,0,0,0,0,0.12258744,,,,,,,,
0,1,1,1,1,1,0.051422648,,,,,,,,
0,0,1,0,0,1,0.13300842,,,,,,,,
0,1,1,0,1,1,0.0488355,,,,,,,,
1,1,1,1,1,1,0.029018436,,,,,,,,
0,0,1,1,0,1,0.044655368,,,,,,,,
1,0,1,0,0,1,0.004609396,,,,,,,,
0,0,1,0,0,1,0.13885663,,,,,,,,
1,0,0,0,0,1,0.004618975,,,,,,,,
0,0,0,1,0,0,0.10923498,,,,,,,,
0,1,0,0,1,0,0.01740287,,,,,,,,
1,1,1,0,1,1,0.03322397,,,,,,,,
0,0,1,0,0,1,0.02905137,,,,,,,,
0,0,1,0,0,1,0.006036986,,,,,,,,
1,1,1,0,1,1,0.089549266,,,,,,,,
0,1,0,0,1,0,0.07607338,,,,,,,,
0,1,0,0,1,0,0.08953748,,,,,,,,
1,1,0,1,1,0,0.18448354,,,,,,,,
1,0,1,1,0,1,0.06228913,,,,,,,,
0,0,0,0,0,0,0.04557226,,,,,,,,
1,1,1,0,1,1,0.10492614,,,,,,,,
0,0,0,0,0,0,0.107429326,,,,,,,,
0,1,1,0,1,1,0.18931498,,,,,,,,
1,0,0,1,0,1,0.07428615,,,,,,,,
0,0,1,0,0,1,0.106649116,,,,,,,,
1,1,1,0,1,1,8.41E-05,,,,,,,,
0,1,1,0,1,1,0.059839323,,,,,,,,
1,1,0,0,1,0,0.013534873,,,,,,,,
0,0,0,0,0,0,0.008332864,,,,,,,,
0,1,1,1,1,1,0.056364488,,,,,,,,
0,0,0,0,0,0,0.105694845,,,,,,,,
1,1,0,1,1,0,0.063472345,,,,,,,,
1,1,0,0,1,0,0.03282302,,,,,,,,
0,1,1,0,1,1,3.77E-05,,,,,,,,
1,0,1,1,0,1,0.20182392,,,,,,,,
1,1,1,1,0,1,0.003564473,,,,,,,,
0,0,0,0,0,0,0.04981255,,,,,,,,
1,1,1,1,1,1,0.021170193,,,,,,,,
0,0,0,0,0,0,0.016907256,,,,,,,,
1,0,0,0,0,1,0.033327565,,,,,,,,
1,0,0,1,0,0,0.10071427,,,,,,,,
0,1,1,0,1,1,0.026265662,,,,,,,,
0,1,0,0,1,0,0.14530157,,,,,,,,
0,0,1,0,0,1,0.004679396,,,,,,,,
0,0,1,0,0,1,0.28603327,,,,,,,,
