gender_gt,income_gt,education_gt,gender_pred,income_pred,education_pred,MSE_Loss,,,,,Performance,,,
1,0,1,1,1,1,0.00659501,,,,,MSE,Gender,Income,Education
1,0,0,1,0,0,0.00305102,,Properties,Gender,M,0.017171,0.858376156,0.934463563,0.926919519
0,1,0,0,1,0,0.013139227,,,,F,0.016967267,0.988849119,0.937507643,0.940018006
0,0,1,0,0,1,0.018379044,,,Income,Low,0.017493364,0.950873587,0.820850202,0.928769658
1,1,1,0,1,1,0.02447405,,,,High,0.016834214,0.931167401,0.996208879,0.94283142
0,1,1,0,1,1,0.03006965,,,Education,Low,0.017206874,0.954779034,0.942054656,0.846746839
1,1,1,1,1,1,0.00844163,,,,High,0.016991363,0.957599119,0.963434022,0.996511366
1,1,1,1,1,1,0.021458896,,,,,,,,
0,1,1,0,1,1,0.036597885,,,,,,,,
1,0,0,1,0,0,0.009451366,,,,,,,,
0,1,1,0,1,1,0.008103466,,,,,,,,
1,0,1,1,0,1,0.009829493,,,,,,,,
0,1,1,0,1,1,0.022092737,,,,,,,,
0,0,0,0,1,0,0.000112536,,,,,,,,
0,1,0,0,1,0,0.037154783,,,,,,,,
0,1,1,0,1,1,0.015178493,,,,,,,,
0,0,1,0,0,1,0.019714048,,,,,,,,
0,1,1,0,1,1,0.007242277,,,,,,,,
1,1,1,1,1,1,0.014213297,,,,,,,,
1,1,1,1,1,1,0.006076002,,,,,,,,
0,1,1,0,1,1,0.010391117,,,,,,,,
1,1,1,1,1,1,0.006151472,,,,,,,,
1,1,0,1,1,0,0.06794398,,,,,,,,
1,1,1,1,1,1,0.016320303,,,,,,,,
1,1,1,1,1,1,0.018929956,,,,,,,,
1,0,1,1,0,1,0.006805305,,,,,,,,
0,1,1,1,1,1,0.061205626,,,,,,,,
1,1,1,1,1,1,0.007449982,,,,,,,,
1,1,0,1,1,0,0.00884354,,,,,,,,
1,1,1,1,1,1,0.002592043,,,,,,,,
1,0,1,1,0,1,0.013690855,,,,,,,,
0,1,0,1,1,0,0.001942995,,,,,,,,
1,0,1,1,0,1,0.013978744,,,,,,,,
0,0,1,0,0,1,0.000210483,,,,,,,,
1,1,1,1,1,1,0.006079652,,,,,,,,
1,1,1,1,1,1,0.001381919,,,,,,,,
1,1,1,1,1,1,0.015572284,,,,,,,,
0,1,0,0,1,0,0.015728299,,,,,,,,
0,1,0,0,1,0,0.00328325,,,,,,,,
1,1,1,1,1,1,0.00227461,,,,,,,,
1,1,1,1,1,1,0.007110459,,,,,,,,
0,1,0,0,1,0,0.004281596,,,,,,,,
1,1,1,1,1,1,0.004626567,,,,,,,,
1,0,1,1,0,1,0.012575998,,,,,,,,
1,1,1,1,1,1,0.01587727,,,,,,,,
