gender_gt,income_gt,education_gt,gender_pred,income_pred,education_pred,MSE_Loss,,,,,,,,
1,0,1,0,0,1,0.003304559,,,,,MSE,Gender,Income,Education
1,0,1,1,0,1,0.004842451,,Properties,Gender,Male,0.01845772,0.976863354,0.895949461,0.88351596
1,0,0,0,0,1,0.003799402,,,,Female,0.018627646,0.775502281,0.919863471,0.924070703
0,0,1,0,0,1,0.016717527,,,Income,<median,0.018678606,0.936438923,0.981171807,0.93846276
1,1,0,1,1,0,0.000496532,,,,>median,0.018322996,0.928855673,0.877049789,0.930354102
0,1,1,0,1,1,0.008280234,,,Education,Degree Holder,0.018461378,0.943271222,0.90629258,0.824916627
1,1,1,1,1,1,0.017542075,,,,Non-Degree Holder,0.018557825,0.885761429,0.943607628,0.996006812
0,0,0,0,0,0,0.006097622,,,,,,,,
0,0,0,0,0,0,0.005744557,,,,,,,,
0,1,1,0,1,1,0.02845219,,,,,,,,
1,1,0,1,1,0,0.008909689,,,,,,,,
0,0,0,0,0,0,0.010342279,,,,,,,,
1,0,1,0,1,1,0.050598934,,,,,,,,
0,0,1,0,0,1,0.018426454,,,,,,,,
1,0,0,1,0,0,0.014847002,,,,,,,,
0,1,1,0,1,1,0.005517276,,,,,,,,
0,0,1,0,0,1,0.06186821,,,,,,,,
0,1,1,0,1,1,0.025824882,,,,,,,,
0,0,1,0,0,1,0.010944491,,,,,,,,
1,0,1,1,0,1,0.013271131,,,,,,,,
1,0,1,1,0,1,0.020638037,,,,,,,,
1,0,1,1,0,1,0.016555823,,,,,,,,
1,0,0,1,0,0,0.001208647,,,,,,,,
1,1,1,1,1,1,0.014565872,,,,,,,,
0,1,0,0,1,0,0.020234695,,,,,,,,
0,0,1,0,0,1,0.049580637,,,,,,,,
0,0,1,0,0,1,0.003700469,,,,,,,,
0,1,0,0,1,0,0.007313004,,,,,,,,
0,0,1,0,0,1,0.002197147,,,,,,,,
0,0,1,0,0,1,0.002813348,,,,,,,,
0,0,0,0,0,0,0.002792316,,,,,,,,
0,0,1,0,0,1,0.054010466,,,,,,,,
0,1,0,0,1,0,3.08E-05,,,,,,,,
0,1,0,0,1,0,0.000134331,,,,,,,,
1,0,0,1,0,0,0.002894188,,,,,,,,
0,0,1,0,0,1,0.013598817,,,,,,,,
0,1,0,0,0,1,0.003102565,,,,,,,,
0,0,0,0,0,0,0.003088075,,,,,,,,
1,1,0,1,1,0,0.009232183,,,,,,,,
0,0,1,0,0,1,0.001399591,,,,,,,,
1,1,0,0,0,1,0.067271225,,,,,,,,
1,1,0,1,1,0,0.035722174,,,,,,,,
1,1,1,0,0,1,0.0668237,,,,,,,,
1,0,1,1,0,1,0.005725271,,,,,,,,
0,1,1,0,1,1,0.025229137,,,,,,,,
0,0,0,0,0,0,0.00981049,,,,,,,,
1,0,1,0,1,0,0.22042227,,,,,,,,
0,0,1,0,0,1,0.015312704,,,,,,,,
0,0,0,0,0,0,0.010285329,,,,,,,,
1,1,1,1,1,1,0.003087039,,,,,,,,
1,1,0,0,1,0,0.003093278,,,,,,,,
1,1,1,1,1,1,0.014969361,,,,,,,,
0,1,0,0,1,0,0.013475326,,,,,,,,
1,0,1,1,0,1,0.005093952,,,,,,,,
0,1,1,0,1,1,0.012111729,,,,,,,,
1,1,1,1,1,1,0.011718872,,,,,,,,
1,0,0,1,1,0,0.000167223,,,,,,,,
0,1,1,0,1,1,0.006583028,,,,,,,,
1,0,0,1,0,0,0.010728812,,,,,,,,
0,1,1,0,1,1,0.021367703,,,,,,,,
0,0,1,0,0,1,0.034919485,,,,,,,,
0,0,0,1,1,1,2.85E-05,,,,,,,,
0,0,1,0,0,1,0.09738507,,,,,,,,
0,1,0,0,1,0,0.000466234,,,,,,,,
1,1,1,1,1,1,0.010607656,,,,,,,,
1,0,1,1,0,1,0.011937134,,,,,,,,
0,0,1,0,0,1,0.003722056,,,,,,,,
0,1,0,0,1,0,0.026843138,,,,,,,,
0,0,0,0,0,0,0.019806055,,,,,,,,
1,1,1,0,0,1,0.13340825,,,,,,,,
1,1,1,1,1,1,0.023024686,,,,,,,,
0,0,1,0,0,1,0.010879797,,,,,,,,
0,0,1,0,0,1,0.016308492,,,,,,,,
1,0,1,1,0,1,0.016384332,,,,,,,,
0,0,1,0,0,1,0.002201336,,,,,,,,
1,0,0,1,0,0,0.001616055,,,,,,,,
0,0,1,0,0,1,0.007239154,,,,,,,,
1,0,0,0,0,1,0.003609537,,,,,,,,
1,0,0,0,0,0,0.034904405,,,,,,,,
1,0,1,1,0,1,0.056834385,,,,,,,,
