gender_gt,income_gt,education_gt,gender_pred,income_pred,education_pred,MSE_Loss
0,0,1,0.0,0.0,0.0,0.004207243
1,1,1,0.0,0.0,0.0,7.044786e-05
0,0,1,0.0,0.0,0.0,0.027686734
0,0,0,0.0,0.0,0.0,0.15941794
0,1,1,0.0,0.0,0.0,0.02278782
0,0,1,0.0,0.0,0.0,0.0041328697
1,0,0,0.0,0.0,0.0,0.057494048
0,1,0,0.0,0.0,0.0,0.29647854
1,0,1,0.0,0.0,0.0,0.06685701
0,0,1,0.0,0.0,0.0,0.0043645804
1,1,0,0.0,0.0,0.0,0.011006372
0,0,0,0.0,0.0,0.0,0.04217499
0,1,0,0.0,0.0,0.0,0.002187308
0,1,1,0.0,0.0,0.0,0.06856275
0,0,1,0.0,0.0,0.0,0.002981182
1,1,0,0.0,0.0,0.0,0.029549768
1,1,0,0.0,0.0,0.0,0.076346345
0,0,1,0.0,0.0,0.0,0.029516073
0,0,1,0.0,0.0,0.0,0.12656428
0,1,1,0.0,0.0,0.0,0.0448799
1,0,1,0.0,0.0,0.0,0.013631075
1,1,0,0.0,0.0,0.0,0.02851068
0,1,1,0.0,0.0,0.0,0.44196758
0,0,1,0.0,0.0,0.0,0.0043706894
0,1,1,0.0,0.0,0.0,0.011768197
0,1,1,0.0,0.0,0.0,0.007661268
1,1,1,0.0,0.0,0.0,0.3631081
1,1,1,0.0,0.0,0.0,0.0143076265
1,1,0,0.0,0.0,0.0,0.07892211
0,0,1,0.0,0.0,0.0,0.004371952
0,1,0,0.0,0.0,0.0,0.066019714
0,1,1,0.0,0.0,0.0,0.16643208
0,1,0,0.0,0.0,0.0,0.15357442
1,1,1,0.0,0.0,0.0,0.12604848
0,0,0,0.0,0.0,0.0,0.07357707
0,1,0,0.0,0.0,0.0,0.09461748
0,1,1,0.0,0.0,0.0,0.14147513
0,0,0,0.0,0.0,0.0,0.033423446
0,1,1,0.0,0.0,0.0,0.35738444
0,1,0,0.0,0.0,0.0,0.0021324873
1,1,0,0.0,0.0,0.0,0.048750922
1,0,1,0.0,0.0,0.0,0.03662332
1,0,0,0.0,0.0,0.0,0.38940576
0,0,0,0.0,0.0,0.0,0.06285622
0,1,0,0.0,0.0,0.0,0.005178434
0,1,0,0.0,0.0,0.0,0.30504426
0,1,0,0.0,0.0,0.0,0.0058133765
0,1,0,0.0,0.0,0.0,0.043162823
0,0,0,0.0,0.0,0.0,0.25380293
1,0,1,0.0,0.0,0.0,0.001607713
1,1,0,0.0,0.0,0.0,0.04533769
1,0,0,0.0,0.0,0.0,0.03669728
0,0,0,0.0,0.0,0.0,0.24282041
1,0,0,0.0,0.0,0.0,0.0034701927
1,0,0,0.0,0.0,0.0,0.080425024
0,1,1,0.0,0.0,0.0,0.04840498
0,0,0,0.0,0.0,0.0,0.033869848
0,1,0,0.0,0.0,0.0,0.019985572
1,0,0,0.0,0.0,0.0,0.16453032
0,1,1,0.0,0.0,0.0,0.10346082
1,1,1,0.0,0.0,0.0,0.10003515
0,0,1,0.0,0.0,0.0,0.064059556
1,1,1,0.0,0.0,0.0,0.034996454
0,1,0,0.0,0.0,0.0,0.0038382334
1,1,1,0.0,0.0,0.0,0.0052930657
0,0,0,0.0,0.0,0.0,0.045877103
0,1,1,0.0,0.0,0.0,0.047657985
0,1,1,0.0,0.0,0.0,0.02162421
0,0,1,0.0,0.0,0.0,0.0037400885
0,0,0,0.0,0.0,0.0,0.054353137
0,1,1,0.0,0.0,0.0,0.06100255
0,0,1,0.0,0.0,0.0,0.11036148
0,0,0,0.0,0.0,0.0,0.054883547
1,0,1,0.0,0.0,0.0,0.16549717
0,1,1,0.0,0.0,0.0,0.06819988
0,1,1,0.0,0.0,0.0,5.540398e-05
0,0,0,0.0,0.0,0.0,0.13902144
1,0,0,0.0,0.0,0.0,0.0042073084
0,0,0,0.0,0.0,0.0,0.023731973
1,0,1,0.0,0.0,0.0,0.0006253823
0,0,0,0.0,0.0,0.0,0.18730213
0,1,1,0.0,0.0,0.0,0.030620666
0,0,1,0.0,0.0,0.0,0.06210159
1,0,0,0.0,0.0,0.0,0.31575462
0,1,0,0.0,0.0,0.0,0.0322207
0,1,1,0.0,0.0,0.0,0.050548717
0,1,1,0.0,0.0,0.0,0.06649364
0,0,1,0.0,0.0,0.0,0.0027571141
1,1,1,0.0,0.0,0.0,0.006186822
1,1,0,0.0,0.0,0.0,0.0011399952
1,0,1,0.0,0.0,0.0,0.050148048
0,1,1,0.0,0.0,0.0,4.850056e-05
1,0,1,0.0,0.0,0.0,0.16309589
0,1,1,0.0,0.0,0.0,0.010519635
0,1,1,0.0,0.0,0.0,0.001994622
1,0,1,0.0,0.0,0.0,0.07572636
0,0,0,0.0,0.0,0.0,0.0017393597
0,1,1,0.0,0.0,0.0,0.027851311
0,1,0,0.0,0.0,0.0,0.053329468
0,0,1,0.0,0.0,0.0,0.0043090563
0,1,1,0.0,0.0,0.0,0.015540868
1,0,0,0.0,0.0,0.0,0.0044259764
1,1,0,0.0,0.0,0.0,0.018667858
0,1,1,0.0,0.0,0.0,0.03171737
0,0,1,0.0,0.0,0.0,0.1403799
0,1,1,0.0,0.0,0.0,0.024949051
0,0,1,0.0,0.0,0.0,0.109563254
0,0,0,0.0,0.0,0.0,0.08150446
1,0,1,0.0,0.0,0.0,0.024953699
0,0,0,0.0,0.0,0.0,0.004205564
1,0,1,0.0,0.0,0.0,0.066954896
0,0,1,0.0,0.0,0.0,0.12137499
0,1,1,0.0,0.0,0.0,0.007960368
1,1,1,0.0,0.0,0.0,0.020214455
0,0,1,0.0,0.0,0.0,0.0044616167
1,1,1,0.0,0.0,0.0,0.021827824
0,0,1,0.0,0.0,0.0,0.0015504636
0,0,0,0.0,0.0,0.0,0.01909451
1,1,0,0.0,0.0,0.0,0.07499568
1,0,1,0.0,0.0,0.0,0.096886605
0,1,1,0.0,0.0,0.0,0.046842102
1,1,1,0.0,0.0,0.0,0.0036806301
0,0,0,0.0,0.0,0.0,0.05951253
0,0,0,0.0,0.0,0.0,0.13674171
0,1,1,0.0,0.0,0.0,0.00068308436
0,0,1,0.0,0.0,0.0,0.0005711674
1,0,0,0.0,0.0,0.0,0.1673884
1,1,1,0.0,0.0,0.0,0.018960835
1,1,0,0.0,0.0,0.0,0.010194188
0,0,1,0.0,0.0,0.0,0.03788517
0,0,1,0.0,0.0,0.0,0.007980929
1,1,0,0.0,0.0,0.0,0.0041312687
1,0,0,0.0,0.0,0.0,0.0054294006
1,0,0,0.0,0.0,0.0,0.13749154
1,1,1,0.0,0.0,0.0,0.0904986
0,1,1,0.0,0.0,0.0,0.068733275
0,1,0,0.0,0.0,0.0,0.09241834
1,0,0,0.0,0.0,0.0,0.07756679
0,0,1,0.0,0.0,0.0,0.011902802
0,1,0,0.0,0.0,0.0,0.22889943
0,0,1,0.0,0.0,0.0,0.0033294929
0,1,0,0.0,0.0,0.0,0.014142926
1,1,1,0.0,0.0,0.0,0.022242622
0,0,1,0.0,0.0,0.0,0.052225493
0,1,1,0.0,0.0,0.0,0.011833963
1,0,1,0.0,0.0,0.0,0.04432489
0,0,0,0.0,0.0,0.0,0.045916215
1,0,0,0.0,0.0,0.0,0.06583776
0,1,1,0.0,0.0,0.0,0.0043775267
1,0,1,0.0,0.0,0.0,0.051385175
1,1,1,0.0,0.0,0.0,0.015891142
0,0,0,0.0,0.0,0.0,0.04892307
0,1,1,0.0,0.0,0.0,0.009355575
0,1,0,0.0,0.0,0.0,0.007484883
1,1,0,0.0,0.0,0.0,0.003746719
0,1,0,0.0,0.0,0.0,0.14448
0,1,0,0.0,0.0,0.0,0.015552379
1,1,1,0.0,0.0,0.0,0.0065936814
0,0,1,0.0,0.0,0.0,0.019737732
1,0,1,0.0,0.0,0.0,0.0016990545
0,0,0,0.0,0.0,0.0,0.19488114
0,1,0,0.0,0.0,0.0,0.020267786
0,0,0,0.0,0.0,0.0,0.04761696
0,0,0,0.0,0.0,0.0,0.002752296
0,0,1,0.0,0.0,0.0,0.0041933022
0,1,1,0.0,0.0,0.0,0.025260821
1,1,1,0.0,0.0,0.0,0.022594001
0,0,0,0.0,0.0,0.0,0.004039138
0,0,1,0.0,0.0,0.0,0.32904252
0,0,0,0.0,0.0,0.0,0.005950532
1,1,1,0.0,0.0,0.0,0.135449
1,0,0,0.0,0.0,0.0,0.004245568
0,1,1,0.0,0.0,0.0,0.0429479
0,1,1,0.0,0.0,0.0,0.050856434
0,1,1,0.0,0.0,0.0,0.0023360662
0,0,1,0.0,0.0,0.0,0.086529225
1,0,1,0.0,0.0,0.0,0.078963205
1,1,0,0.0,0.0,0.0,0.114904374
1,1,1,0.0,0.0,0.0,2.6556512e-05
0,1,1,0.0,0.0,0.0,0.0072225863
0,0,1,0.0,0.0,0.0,0.07946923
0,1,0,0.0,0.0,0.0,0.029514318
0,0,1,0.0,0.0,0.0,0.051970407
0,1,1,0.0,0.0,0.0,0.12925383
1,0,0,0.0,0.0,0.0,0.022232497
0,1,1,0.0,0.0,0.0,0.0062852134
0,0,1,0.0,0.0,0.0,0.035223193
1,0,0,0.0,0.0,0.0,0.004387909
0,0,1,0.0,0.0,0.0,0.16341934
0,0,0,0.0,0.0,0.0,0.030034475
0,1,1,0.0,0.0,0.0,0.024224244
0,0,0,0.0,0.0,0.0,0.007457814
1,0,1,0.0,0.0,0.0,0.004138629
0,0,0,0.0,0.0,0.0,0.0043054707
1,0,0,0.0,0.0,0.0,0.21334116
0,0,0,0.0,0.0,0.0,0.036298543
0,1,1,0.0,0.0,0.0,0.1095419
0,1,0,0.0,0.0,0.0,0.026603548
0,1,1,0.0,0.0,0.0,0.11245866
0,1,1,0.0,0.0,0.0,0.017567834
0,1,0,0.0,0.0,0.0,0.010242078
0,1,0,0.0,0.0,0.0,0.09323055
0,0,0,0.0,0.0,0.0,0.048453566
1,0,1,0.0,0.0,0.0,0.031485878
1,0,0,0.0,0.0,0.0,0.004418213
